description,ghg_category,scenario,industry,item_type,amount,language
packaging machine power generation system - 5253 MW,2,equipment,Energy,Power Generation,39953760.65,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,620289.05,en
Complete consumer goods production line installation,2,equipment,Manufacturing,Production Line,15796684.14,en
resistors component procurement (8957 pcs),1,raw_materials,Electronics,Electronic Components,6555126.37,en
Purchase of toluene solvent - 4516 liters,1,raw_materials,Manufacturing,Chemical,1013183.8,en
titanium raw material supply - 5710 kg,1,raw_materials,Manufacturing,Metal,756404.3,en
Construction of manufacturing plant (18604 sqm),2,equipment,Real Estate,Building,294162458.1,en
Engagement of sustainability consultant (9 months),1,services,Professional Services,Consulting,53078.23,en
packaging machine power generation system - 1393 MW,2,equipment,Energy,Power Generation,189965112.16,en
Purchase of 272 units of PCB boards for assembly,1,raw_materials,Electronics,Electronic Components,6527760.33,en
Cloud legal service - quarterly contract,1,services,IT Services,Software,670253.15,en
Facility maintenance service for 12 months,1,services,Facility Management,Maintenance,781987.09,en
Cloud IT service - 12 months contract,1,services,IT Services,Software,910313.14,en
Warehouse storage service (7528 sqm for 6 months),1,logistics,Logistics,Warehousing,273912.24,en
Order 1336 PCB boards for production batch,1,raw_materials,Electronics,Electronic Components,5190658.68,en
ERP software subscription (9085 licenses for annual),1,services,IT Services,Software,443677.77,en
Third-party warehousing at branch - 1651 sqm,1,logistics,Logistics,Warehousing,1860779.81,en
manufacturing plant building contract (headquarters),2,equipment,Real Estate,Building,375167092.68,en
microchips component procurement (4678 pcs),1,raw_materials,Electronics,Electronic Components,4226766.41,en
electronics manufacturing line (2293 units/day capacity),2,equipment,Manufacturing,Production Line,72369139.53,en
aluminum alloy raw material supply - 2887 kg,1,raw_materials,Manufacturing,Metal,3751384.16,en
sustainability consulting services for 6 months,1,services,Professional Services,Consulting,282217.24,en
Fleet procurement - 9987 delivery trucks,2,equipment,Transportation,Vehicle,28047230.86,en
aluminum alloy raw material supply - 2380 kg,1,raw_materials,Manufacturing,Metal,271471.1,en
Third-party warehousing at warehouse - 9375 sqm,1,logistics,Logistics,Warehousing,2346207.5,en
Industrial ethanol supply contract (997 liters),1,raw_materials,Manufacturing,Chemical,1367047.06,en
Logistics service for East-West corridor (12 months),1,logistics,Logistics,Freight,4480580.91,en
Industrial sodium hydroxide supply contract (8528 liters),1,raw_materials,Manufacturing,Chemical,1760850.71,en
LED modules component procurement (3948 pcs),1,raw_materials,Electronics,Electronic Components,5645514.06,en
Third-party warehousing at regional office - 6512 sqm,1,logistics,Logistics,Warehousing,1147103.11,en
Cloud management service - 12 months contract,1,services,IT Services,Software,627000.29,en
Order 1941 resistors for production batch,1,raw_materials,Electronics,Electronic Components,6789088.97,en
Warehouse storage service (4954 sqm for 6 months),1,logistics,Logistics,Warehousing,2825635.43,en
sustainability consulting services for annual,1,services,Professional Services,Consulting,899761.97,en
Order organic soybeans (6296 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1861274.66,en
Purchase of 410 units of microchips for assembly,1,raw_materials,Electronics,Electronic Components,5505664.97,en
Renewable energy facility construction (7971 MW),2,equipment,Energy,Power Generation,24649417.7,en
Warehouse storage service (709 sqm for 12 months),1,logistics,Logistics,Warehousing,2726288.08,en
IT consulting services for 6 months,1,services,Professional Services,Consulting,1399810.53,en
IT infrastructure upgrade - robotic arm (9894 units),2,equipment,IT Infrastructure,Hardware,504604.51,en
Monthly freight service for East-West distribution,1,logistics,Logistics,Freight,2895579.14,en
IT infrastructure upgrade - conveyor system (234 units),2,equipment,IT Infrastructure,Hardware,2588562.88,en
Order 2400 microchips for production batch,1,raw_materials,Electronics,Electronic Components,4001922.34,en
management transportation service - East-West,1,logistics,Logistics,Freight,494014.72,en
Order organic soybeans (8095 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,2913466.51,en
New warehouse development project,2,equipment,Real Estate,Building,281724965.26,en
Order organic soybeans (6197 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,194083.47,en
Cloud sustainability service - annual contract,1,services,IT Services,Software,437557.75,en
IT infrastructure upgrade - packaging machine (5667 units),2,equipment,IT Infrastructure,Hardware,8799276.9,en
distribution center building contract (branch),2,equipment,Real Estate,Building,188857613.32,en
Cloud financial service - quarterly contract,1,services,IT Services,Software,641162.74,en
"Building management service (headquarters, 8 months)",1,services,Facility Management,Maintenance,1334704.83,en
Renewable energy facility construction (2447 MW),2,equipment,Energy,Power Generation,176303636.52,en
Engagement of financial consultant (28 months),1,services,Professional Services,Consulting,1569370.37,en
Third-party warehousing at factory - 4288 sqm,1,logistics,Logistics,Warehousing,789387.42,en
Solar panel installation (9194 kW capacity),2,equipment,Energy,Power Generation,150414427.59,en
Order 6953 capacitors for production batch,1,raw_materials,Electronics,Electronic Components,7481460.5,en
Facility maintenance service for 6 months,1,services,Facility Management,Maintenance,811942.4,en
Automated assembly line for electronics,2,equipment,Manufacturing,Production Line,31981286.4,en
Procurement of automated CNC machine system,2,equipment,Manufacturing,Machinery,49907081.99,en
Order 1139 kg of aluminum alloy for QQ4 production,1,raw_materials,Manufacturing,Metal,3700484.17,en
3640 liters of sodium hydroxide for chemical processing,1,raw_materials,Manufacturing,Chemical,616712.87,en
Industrial injection molding machine (7837 units) with installation,2,equipment,Manufacturing,Machinery,28124615.21,en
"Building management service (regional office, 22 months)",1,services,Facility Management,Maintenance,96828.85,en
financial transportation service - North-South,1,logistics,Logistics,Freight,2141857.77,en
Professional advisory service - management,1,services,Professional Services,Consulting,1748319.29,en
aluminum alloy raw material supply - 6523 kg,1,raw_materials,Manufacturing,Metal,4440146.33,en
Procurement of copper wire (7274 kg) for production line,1,raw_materials,Manufacturing,Metal,4848626.29,en
robotic arm power generation system - 1359 MW,2,equipment,Energy,Power Generation,8104928.15,en
injection molding machine acquisition - industrial grade,2,equipment,Manufacturing,Machinery,39101399.36,en
Monthly freight service for urban distribution,1,logistics,Logistics,Freight,2191566.43,en
Professional advisory service - financial,1,services,Professional Services,Consulting,246762.26,en
soybeans ingredient procurement - 109 tons,1,raw_materials,Food & Beverage,Agricultural,1283309.53,en
SaaS subscription for CRM (792 users),1,services,IT Services,Software,909668.82,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,1495603.96,en
injection molding machine acquisition - industrial grade,2,equipment,Manufacturing,Machinery,15462245.64,en
conveyor system procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,2612516.36,en
Purchase of 4669 tons of wheat for food production,1,raw_materials,Food & Beverage,Agricultural,202258.19,en
4145 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,1252690.44,en
SaaS subscription for CRM (7667 users),1,services,IT Services,Software,642379.38,en
Third-party warehousing at headquarters - 6274 sqm,1,logistics,Logistics,Warehousing,368984.83,en
injection molding machine power generation system - 5534 MW,2,equipment,Energy,Power Generation,182464355.16,en
warehouse building contract (factory),2,equipment,Real Estate,Building,288212798.99,en
Purchase of 3397 units of PCB boards for assembly,1,raw_materials,Electronics,Electronic Components,3037470.36,en
Automated assembly line for automotive parts,2,equipment,Manufacturing,Production Line,44517665.71,en
cargo vehicles acquisition (industrial grade),2,equipment,Transportation,Vehicle,2142936.29,en
injection molding machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,2296738.2,en
Fleet procurement - 2045 forklifts,2,equipment,Transportation,Vehicle,3206679.5,en
Third-party warehousing at regional office - 6657 sqm,1,logistics,Logistics,Warehousing,2361134.33,en
financial transportation service - North-South,1,logistics,Logistics,Freight,2127988.94,en
Third-party warehousing at headquarters - 2594 sqm,1,logistics,Logistics,Warehousing,1666372.57,en
Renewable energy facility construction (7322 MW),2,equipment,Energy,Power Generation,42556574.55,en
Logistics service for urban corridor (quarterly),1,logistics,Logistics,Freight,3329221.52,en
Purchase of 9098 tons of sugar for food production,1,raw_materials,Food & Beverage,Agricultural,1522395.75,en
Order organic rice (8188 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,458214.18,en
Warehouse storage service (4341 sqm for 12 months),1,logistics,Logistics,Warehousing,798936.08,en
Purchase of toluene solvent - 8105 liters,1,raw_materials,Manufacturing,Chemical,609126.77,en
Purchase of sodium hydroxide solvent - 6258 liters,1,raw_materials,Manufacturing,Chemical,1604854.26,en
Purchase of 1827 kg of copper wire for manufacturing use,1,raw_materials,Manufacturing,Metal,2460274.42,en
2203 liters of sulfuric acid for chemical processing,1,raw_materials,Manufacturing,Chemical,1047468.56,en
Collaboration software subscription (8500 licenses for annual),1,services,IT Services,Software,195280.92,en
Purchase of 200 tons of rice for food production,1,raw_materials,Food & Beverage,Agricultural,1367547.92,en
1762 liters of sodium hydroxide for chemical processing,1,raw_materials,Manufacturing,Chemical,136789.57,en
Professional advisory service - legal,1,services,Professional Services,Consulting,1004764.92,en
Logistics service for North-South corridor (quarterly),1,logistics,Logistics,Freight,1146951.65,en
Industrial acetone supply contract (7072 liters),1,raw_materials,Manufacturing,Chemical,1074890.08,en
Monthly freight service for regional distribution,1,logistics,Logistics,Freight,4299611.72,en
"Building management service (branch, 18 months)",1,services,Facility Management,Maintenance,422619.09,en
Solar panel installation (428 kW capacity),2,equipment,Energy,Power Generation,161601857.13,en
Purchase of acetone solvent - 3481 liters,1,raw_materials,Manufacturing,Chemical,632587.68,en
889 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,688626.42,en
Purchase of 4423 units of resistors for assembly,1,raw_materials,Electronics,Electronic Components,634033.91,en
Solar panel installation (4995 kW capacity),2,equipment,Energy,Power Generation,35969990.21,en
Renewable energy facility construction (3833 MW),2,equipment,Energy,Power Generation,75925650.52,en
Engagement of IT consultant (7 months),1,services,Professional Services,Consulting,1224191.19,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,659661.96,en
Cloud sustainability service - annual contract,1,services,IT Services,Software,42347.86,en
wheat ingredient procurement - 7258 tons,1,raw_materials,Food & Beverage,Agricultural,1936704.74,en
Fleet procurement - 6580 cargo vehicles,2,equipment,Transportation,Vehicle,7156866.23,en
electronics manufacturing line (6845 units/day capacity),2,equipment,Manufacturing,Production Line,23959418.85,en
management consulting services for 12 months,1,services,Professional Services,Consulting,65656.34,en
Complete electronics production line installation,2,equipment,Manufacturing,Production Line,41869419.54,en
legal consulting services for 12 months,1,services,Professional Services,Consulting,1171697.27,en
SaaS subscription for CRM (2836 users),1,services,IT Services,Software,394578.64,en
Facility maintenance service for quarterly,1,services,Facility Management,Maintenance,1408116.84,en
Procurement of steel sheets (6144 kg) for production line,1,raw_materials,Manufacturing,Metal,653063.62,en
Renewable energy facility construction (8859 MW),2,equipment,Energy,Power Generation,95743831.93,en
Purchase of 4012 CNC machine for data center,2,equipment,IT Infrastructure,Hardware,1331200.97,en
Cloud financial service - 12 months contract,1,services,IT Services,Software,64642.73,en
Warehouse storage service (221 sqm for annual),1,logistics,Logistics,Warehousing,1846083.65,en
Warehouse storage service (9125 sqm for annual),1,logistics,Logistics,Warehousing,1529626.45,en
Cloud financial service - 12 months contract,1,services,IT Services,Software,202708.75,en
Industrial sulfuric acid supply contract (6268 liters),1,raw_materials,Manufacturing,Chemical,1453940.82,en
Construction of warehouse (48838 sqm),2,equipment,Real Estate,Building,184852208.95,en
Collaboration software subscription (9702 licenses for quarterly),1,services,IT Services,Software,914617.17,en
2838 liters of sulfuric acid for chemical processing,1,raw_materials,Manufacturing,Chemical,1019967.71,en
"Building management service (headquarters, 30 months)",1,services,Facility Management,Maintenance,850012.8,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,1281406.31,en
rice ingredient procurement - 1058 tons,1,raw_materials,Food & Beverage,Agricultural,2103347.09,en
Professional advisory service - IT,1,services,Professional Services,Consulting,1947879.99,en
Purchase of 1965 units of capacitors for assembly,1,raw_materials,Electronics,Electronic Components,4107519.07,en
rice ingredient procurement - 1512 tons,1,raw_materials,Food & Beverage,Agricultural,679819.97,en
Automated assembly line for electronics,2,equipment,Manufacturing,Production Line,10971810.33,en
Purchase of 4856 tons of soybeans for food production,1,raw_materials,Food & Beverage,Agricultural,1237288.97,en
aluminum alloy raw material supply - 210 kg,1,raw_materials,Manufacturing,Metal,406230.54,en
IT infrastructure upgrade - injection molding machine (406 units),2,equipment,IT Infrastructure,Hardware,8557088.62,en
Purchase of 7401 delivery trucks for logistics operations,2,equipment,Transportation,Vehicle,27898994.3,en
automotive parts manufacturing line (4700 units/day capacity),2,equipment,Manufacturing,Production Line,73424287.59,en
sustainability consulting services for annual,1,services,Professional Services,Consulting,338171.36,en
Purchase of 6861 tons of wheat for food production,1,raw_materials,Food & Beverage,Agricultural,2092545.03,en
financial consulting services for 6 months,1,services,Professional Services,Consulting,353980.31,en
Order organic corn (9985 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1793443.22,en
Procurement of copper wire (1114 kg) for production line,1,raw_materials,Manufacturing,Metal,960145.47,en
Purchase of 6118 kg of aluminum alloy for manufacturing use,1,raw_materials,Manufacturing,Metal,4460597.03,en
Cold storage rental (3115 cbm) for quarterly,1,logistics,Logistics,Warehousing,1967168.39,en
corn ingredient procurement - 241 tons,1,raw_materials,Food & Beverage,Agricultural,1027392.15,en
Purchase of 3165 units of resistors for assembly,1,raw_materials,Electronics,Electronic Components,1831453.06,en
Industrial sodium hydroxide supply contract (7818 liters),1,raw_materials,Manufacturing,Chemical,1530255.01,en
Cold storage rental (691 cbm) for 6 months,1,logistics,Logistics,Warehousing,2597892.05,en
Logistics service for North-South corridor (6 months),1,logistics,Logistics,Freight,135125.17,en
warehouse building contract (factory),2,equipment,Real Estate,Building,162365155.95,en
Third-party warehousing at warehouse - 1373 sqm,1,logistics,Logistics,Warehousing,1619105.25,en
Purchase of 8416 forklifts for logistics operations,2,equipment,Transportation,Vehicle,18468769.0,en
Order organic corn (4823 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,134726.65,en
Collaboration software subscription (9330 licenses for quarterly),1,services,IT Services,Software,359236.13,en
microchips component procurement (9740 pcs),1,raw_materials,Electronics,Electronic Components,4705097.52,en
Engagement of IT consultant (35 months),1,services,Professional Services,Consulting,832018.08,en
Purchase of 2038 kg of aluminum alloy for manufacturing use,1,raw_materials,Manufacturing,Metal,3068652.58,en
conveyor system power generation system - 6349 MW,2,equipment,Energy,Power Generation,167904514.17,en
IT infrastructure upgrade - conveyor system (4521 units),2,equipment,IT Infrastructure,Hardware,9994407.92,en
Purchase of CNC machine for production facility,2,equipment,Manufacturing,Machinery,26791028.35,en
Order 9856 LED modules for production batch,1,raw_materials,Electronics,Electronic Components,3096296.31,en
Industrial sodium hydroxide supply contract (3364 liters),1,raw_materials,Manufacturing,Chemical,848743.6,en
Fleet procurement - 8574 forklifts,2,equipment,Transportation,Vehicle,20965369.63,en
Automated assembly line for consumer goods,2,equipment,Manufacturing,Production Line,49984287.94,en
CNC machine power generation system - 1787 MW,2,equipment,Energy,Power Generation,23473895.59,en
Purchase of 8828 cargo vehicles for logistics operations,2,equipment,Transportation,Vehicle,29437081.74,en
"Building management service (branch, 25 months)",1,services,Facility Management,Maintenance,849834.29,en
Construction of manufacturing plant (17165 sqm),2,equipment,Real Estate,Building,283170829.24,en
injection molding machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,8172386.88,en
Engagement of legal consultant (12 months),1,services,Professional Services,Consulting,428936.12,en
Engagement of IT consultant (33 months),1,services,Professional Services,Consulting,1066870.26,en
wheat ingredient procurement - 9275 tons,1,raw_materials,Food & Beverage,Agricultural,2881618.17,en
Facility maintenance service for 12 months,1,services,Facility Management,Maintenance,129902.47,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,949089.53,en
electronics manufacturing line (4364 units/day capacity),2,equipment,Manufacturing,Production Line,86018497.59,en
Analytics software subscription (4247 licenses for annual),1,services,IT Services,Software,301110.61,en
copper wire raw material supply - 3544 kg,1,raw_materials,Manufacturing,Metal,1556435.36,en
Procurement of automated CNC machine system,2,equipment,Manufacturing,Machinery,4384631.1,en
Procurement of aluminum alloy (5452 kg) for production line,1,raw_materials,Manufacturing,Metal,4104476.54,en
CRM software subscription (5056 licenses for 12 months),1,services,IT Services,Software,888388.92,en
Purchase of packaging machine for production facility,2,equipment,Manufacturing,Machinery,3864062.74,en
Complete consumer goods production line installation,2,equipment,Manufacturing,Production Line,94482705.28,en
Logistics service for regional corridor (annual),1,logistics,Logistics,Freight,4420645.13,en
titanium raw material supply - 9406 kg,1,raw_materials,Manufacturing,Metal,1743109.27,en
"Building management service (warehouse, 25 months)",1,services,Facility Management,Maintenance,114145.07,en
Renewable energy facility construction (5105 MW),2,equipment,Energy,Power Generation,29141859.03,en
rice ingredient procurement - 8088 tons,1,raw_materials,Food & Beverage,Agricultural,961600.99,en
Industrial toluene supply contract (8187 liters),1,raw_materials,Manufacturing,Chemical,357905.85,en
Warehouse storage service (5503 sqm for 6 months),1,logistics,Logistics,Warehousing,658729.41,en
Order 1912 LED modules for production batch,1,raw_materials,Electronics,Electronic Components,6173678.01,en
CRM software subscription (3485 licenses for 12 months),1,services,IT Services,Software,776624.89,en
Order 9198 microchips for production batch,1,raw_materials,Electronics,Electronic Components,761622.41,en
Logistics service for North-South corridor (quarterly),1,logistics,Logistics,Freight,3884001.74,en
delivery trucks acquisition (industrial grade),2,equipment,Transportation,Vehicle,14575526.02,en
Logistics service for regional corridor (12 months),1,logistics,Logistics,Freight,766811.99,en
Collaboration software subscription (2229 licenses for 12 months),1,services,IT Services,Software,307430.93,en
Order organic wheat (7910 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,825625.0,en
Purchase of conveyor system for production facility,2,equipment,Manufacturing,Machinery,37844576.02,en
Purchase of 4371 units of resistors for assembly,1,raw_materials,Electronics,Electronic Components,244753.33,en
Third-party warehousing at headquarters - 1401 sqm,1,logistics,Logistics,Warehousing,2554977.41,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,1364552.55,en
4082 liters of toluene for chemical processing,1,raw_materials,Manufacturing,Chemical,1504102.85,en
Purchase of acetone solvent - 1637 liters,1,raw_materials,Manufacturing,Chemical,1428034.74,en
Order 4360 kg of titanium for QQ2 production,1,raw_materials,Manufacturing,Metal,2210782.45,en
warehouse building contract (branch),2,equipment,Real Estate,Building,191709211.76,en
Purchase of 9632 units of resistors for assembly,1,raw_materials,Electronics,Electronic Components,6331112.8,en
Fleet procurement - 1364 cargo vehicles,2,equipment,Transportation,Vehicle,4105761.06,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,221813.55,en
Purchase of sulfuric acid solvent - 2313 liters,1,raw_materials,Manufacturing,Chemical,1147890.31,en
Engagement of management consultant (28 months),1,services,Professional Services,Consulting,1603671.89,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,1332100.79,en
forklifts acquisition (industrial grade),2,equipment,Transportation,Vehicle,6423461.37,en
Purchase of 7702 tons of wheat for food production,1,raw_materials,Food & Beverage,Agricultural,710432.57,en
Renewable energy facility construction (129 MW),2,equipment,Energy,Power Generation,129010414.24,en
Purchase of 8876 packaging machine for data center,2,equipment,IT Infrastructure,Hardware,3018858.81,en
9581 liters of toluene for chemical processing,1,raw_materials,Manufacturing,Chemical,28863.01,en
"Building management service (factory, 36 months)",1,services,Facility Management,Maintenance,239786.84,en
Purchase of sodium hydroxide solvent - 3939 liters,1,raw_materials,Manufacturing,Chemical,1719915.43,en
SaaS subscription for Collaboration (1937 users),1,services,IT Services,Software,553872.0,en
financial consulting services for 12 months,1,services,Professional Services,Consulting,100822.79,en
Fleet procurement - 3333 cargo vehicles,2,equipment,Transportation,Vehicle,22271687.97,en
Automated assembly line for consumer goods,2,equipment,Manufacturing,Production Line,81565899.21,en
CNC machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,7646796.07,en
Order 2727 LED modules for production batch,1,raw_materials,Electronics,Electronic Components,2125891.56,en
Order organic soybeans (6732 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1185334.59,en
Industrial packaging machine (2935 units) with installation,2,equipment,Manufacturing,Machinery,13108764.05,en
Cold storage rental (993 cbm) for annual,1,logistics,Logistics,Warehousing,2273742.11,en
Order 4769 PCB boards for production batch,1,raw_materials,Electronics,Electronic Components,6451257.49,en
Complete consumer goods production line installation,2,equipment,Manufacturing,Production Line,7102434.13,en
Purchase of sodium hydroxide solvent - 4400 liters,1,raw_materials,Manufacturing,Chemical,1523886.25,en
Monthly freight service for cross-border distribution,1,logistics,Logistics,Freight,4047893.11,en
Fleet procurement - 3375 cargo vehicles,2,equipment,Transportation,Vehicle,17116878.21,en
Security software subscription (7710 licenses for quarterly),1,services,IT Services,Software,46330.16,en
Third-party warehousing at factory - 7436 sqm,1,logistics,Logistics,Warehousing,395271.1,en
Automated assembly line for consumer goods,2,equipment,Manufacturing,Production Line,62629628.28,en
Order 2262 kg of steel sheets for QQ2 production,1,raw_materials,Manufacturing,Metal,2665740.3,en
Purchase of acetone solvent - 9998 liters,1,raw_materials,Manufacturing,Chemical,1295950.48,en
Third-party warehousing at warehouse - 9731 sqm,1,logistics,Logistics,Warehousing,457789.93,en
Third-party warehousing at warehouse - 7766 sqm,1,logistics,Logistics,Warehousing,1224129.41,en
aluminum alloy raw material supply - 2783 kg,1,raw_materials,Manufacturing,Metal,4745215.17,en
Contract for 9919 shipments via sustainability,1,logistics,Logistics,Freight,1681111.56,en
Purchase of 4429 cargo vehicles for logistics operations,2,equipment,Transportation,Vehicle,11134297.19,en
Complete electronics production line installation,2,equipment,Manufacturing,Production Line,14585187.74,en
Fleet procurement - 4849 forklifts,2,equipment,Transportation,Vehicle,28334438.64,en
Industrial ethanol supply contract (6166 liters),1,raw_materials,Manufacturing,Chemical,1109964.52,en
financial transportation service - urban,1,logistics,Logistics,Freight,3963063.26,en
Contract for 5799 shipments via sustainability,1,logistics,Logistics,Freight,4297836.21,en
SaaS subscription for Collaboration (2516 users),1,services,IT Services,Software,329081.54,en
Purchase of ethanol solvent - 5143 liters,1,raw_materials,Manufacturing,Chemical,1446251.89,en
Order 2391 kg of steel sheets for QQ1 production,1,raw_materials,Manufacturing,Metal,1799825.36,en
New distribution center development project,2,equipment,Real Estate,Building,434853319.31,en
electronics manufacturing line (1443 units/day capacity),2,equipment,Manufacturing,Production Line,30233378.69,en
Purchase of 3070 electric vans for logistics operations,2,equipment,Transportation,Vehicle,3138012.2,en
Construction of office building (35196 sqm),2,equipment,Real Estate,Building,271507886.65,en
microchips component procurement (5157 pcs),1,raw_materials,Electronics,Electronic Components,7457556.21,en
Order organic rice (3754 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1502796.7,en
ERP software subscription (5046 licenses for quarterly),1,services,IT Services,Software,303771.11,en
Cold storage rental (2821 cbm) for 12 months,1,logistics,Logistics,Warehousing,2733687.72,en
Complete electronics production line installation,2,equipment,Manufacturing,Production Line,73512384.79,en
Logistics service for North-South corridor (12 months),1,logistics,Logistics,Freight,4398765.81,en
Contract for 3881 shipments via legal,1,logistics,Logistics,Freight,1111260.43,en
Order organic corn (311 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1983835.49,en
Industrial sulfuric acid supply contract (9604 liters),1,raw_materials,Manufacturing,Chemical,66484.21,en
Procurement of automated conveyor system system,2,equipment,Manufacturing,Machinery,22959323.46,en
Purchase of 4918 electric vans for logistics operations,2,equipment,Transportation,Vehicle,12326760.72,en
management consulting services for 6 months,1,services,Professional Services,Consulting,339231.4,en
Warehouse storage service (3271 sqm for 12 months),1,logistics,Logistics,Warehousing,965812.14,en
Monthly freight service for cross-border distribution,1,logistics,Logistics,Freight,2520842.05,en
SaaS subscription for Security (7848 users),1,services,IT Services,Software,326122.62,en
Facility maintenance service for quarterly,1,services,Facility Management,Maintenance,930076.29,en
Logistics service for North-South corridor (6 months),1,logistics,Logistics,Freight,4806845.2,en
Fleet procurement - 7302 forklifts,2,equipment,Transportation,Vehicle,15655667.76,en
automotive parts manufacturing line (4261 units/day capacity),2,equipment,Manufacturing,Production Line,98826911.05,en
Procurement of automated conveyor system system,2,equipment,Manufacturing,Machinery,42441277.89,en
Construction of manufacturing plant (9393 sqm),2,equipment,Real Estate,Building,170154444.39,en
office building building contract (factory),2,equipment,Real Estate,Building,206763015.07,en
Warehouse storage service (8956 sqm for annual),1,logistics,Logistics,Warehousing,856308.13,en
Industrial CNC machine (5710 units) with installation,2,equipment,Manufacturing,Machinery,28463188.25,en
Engagement of financial consultant (20 months),1,services,Professional Services,Consulting,461499.13,en
electronics manufacturing line (2285 units/day capacity),2,equipment,Manufacturing,Production Line,64295920.97,en
Purchase of sodium hydroxide solvent - 4077 liters,1,raw_materials,Manufacturing,Chemical,1494971.79,en
electronics manufacturing line (8880 units/day capacity),2,equipment,Manufacturing,Production Line,81721705.94,en
Industrial ethanol supply contract (7521 liters),1,raw_materials,Manufacturing,Chemical,1157977.61,en
LED modules component procurement (1974 pcs),1,raw_materials,Electronics,Electronic Components,3175349.99,en
Cold storage rental (2817 cbm) for 12 months,1,logistics,Logistics,Warehousing,2931289.9,en
Logistics service for urban corridor (annual),1,logistics,Logistics,Freight,1625161.49,en
IT infrastructure upgrade - conveyor system (1970 units),2,equipment,IT Infrastructure,Hardware,1095735.21,en
Purchase of CNC machine for production facility,2,equipment,Manufacturing,Machinery,13434493.29,en
7292 liters of toluene for chemical processing,1,raw_materials,Manufacturing,Chemical,1609986.41,en
Automated assembly line for automotive parts,2,equipment,Manufacturing,Production Line,34986870.22,en
SaaS subscription for Security (6840 users),1,services,IT Services,Software,42281.32,en
Order 5843 microchips for production batch,1,raw_materials,Electronics,Electronic Components,3946337.92,en
Construction of warehouse (8146 sqm),2,equipment,Real Estate,Building,444757061.18,en
electric vans acquisition (industrial grade),2,equipment,Transportation,Vehicle,22435588.13,en
rice ingredient procurement - 1452 tons,1,raw_materials,Food & Beverage,Agricultural,2272488.43,en
Facility maintenance service for quarterly,1,services,Facility Management,Maintenance,661935.58,en
consumer goods manufacturing line (6199 units/day capacity),2,equipment,Manufacturing,Production Line,30645165.16,en
Industrial toluene supply contract (9519 liters),1,raw_materials,Manufacturing,Chemical,292834.43,en
Renewable energy facility construction (8001 MW),2,equipment,Energy,Power Generation,58212524.77,en
steel sheets raw material supply - 9245 kg,1,raw_materials,Manufacturing,Metal,642838.46,en
Professional advisory service - sustainability,1,services,Professional Services,Consulting,1047590.33,en
Purchase of 4951 units of capacitors for assembly,1,raw_materials,Electronics,Electronic Components,7686888.72,en
Automated assembly line for electronics,2,equipment,Manufacturing,Production Line,86080792.22,en
Logistics service for cross-border corridor (6 months),1,logistics,Logistics,Freight,4700757.14,en
Purchase of 9217 units of PCB boards for assembly,1,raw_materials,Electronics,Electronic Components,7701737.17,en
Industrial robotic arm (4420 units) with installation,2,equipment,Manufacturing,Machinery,39393404.27,en
electronics manufacturing line (5445 units/day capacity),2,equipment,Manufacturing,Production Line,19764002.38,en
IT infrastructure upgrade - robotic arm (8177 units),2,equipment,IT Infrastructure,Hardware,7155871.69,en
Renewable energy facility construction (4009 MW),2,equipment,Energy,Power Generation,149113621.28,en
Contract for 7317 shipments via financial,1,logistics,Logistics,Freight,1927416.07,en
Solar panel installation (1156 kW capacity),2,equipment,Energy,Power Generation,36093874.12,en
Procurement of automated robotic arm system,2,equipment,Manufacturing,Machinery,34812215.78,en
Professional advisory service - management,1,services,Professional Services,Consulting,247491.96,en
Purchase of injection molding machine for production facility,2,equipment,Manufacturing,Machinery,8351266.1,en
Procurement of automated robotic arm system,2,equipment,Manufacturing,Machinery,11282581.78,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,526799.14,en
Purchase of 7607 cargo vehicles for logistics operations,2,equipment,Transportation,Vehicle,24663721.14,en
Facility maintenance service for 6 months,1,services,Facility Management,Maintenance,541449.22,en
