Process,Category,EF3.1,kg CO2e
"Tomato, conventional, new glasshouse, natural gas, no runoff recycling, with water footprint, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.111,1.61
"Tomato, conventional, new closed glasshouse,  unavoidable energy and biomass, runoff recycling, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.077,0.56
"Tomato, conventional, new closed glasshouse,  unavoidable energy and biomass, no liquid CO2, runoff recycling, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.051,0.21
"Tomato, production mix, greenhouse production, national average, at greenhouse {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.17,2.33
"Brown crab, 1 kg of product, at landing {FR} U",Agricultural\Animal production\Seafood\Transformation,0.501,2.52
"Brown crab, 1 kg of product, at landing {GB} U",Agricultural\Animal production\Seafood\Transformation,0.881,4.54
"Brown crab, 1 kg of product, at landing {IE} U",Agricultural\Animal production\Seafood\Transformation,0.792,4.14
"Triticale grain, conventional, national average, animal feed, at farm gate, production {FR} U",Agricultural\Plant production\Cereals\Transformation,0.069,0.54
"Cull sow, conventional, on-farm feed supply, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.638,11.28
"Cull sow, conventional, national average, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.583,11.08
"Cull sow, conventional, fed rapeseed meal, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.506,10.61
"Cull sow, conventional, fed soybean meal, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.567,11.62
"Cull sow, conventional, excess slurry treatment, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.54,10.87
"Cull sow, Label Rouge, pig with run system, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.617,11.46
"Cull sow, Label Rouge, outdoor system, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,1.575,9.01
"Suckler cull cow, conventional, suckler cow system, less than 1.2 LU per ha, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,1.72,17.94
"Suckler cull cow, conventional, suckler cow system, more than 1.2 LU per ha, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,1.46,15.42
"Cull cow, conventional, highland milk system, grass fed, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,1.2,13
"Cull cow, conventional, lowland milk system, silage maize 10 to 30%, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,1.016,10.48
"Cull cow, conventional, lowland milk system, silage maize 5 to 10%, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,1.211,11.8
"Cull cow, conventional, lowland milk system, silage maize more than 30%, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,0.792,8.53
"Veal, conventional, fattening system, calves from lowland milk system, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,0.945,9.91
